,iteration,index_size,query,query_name,elapsed_seconds,num_result_rows
0,0,1628179195,SELECT COUNT(*) FROM nsdf.catalog,count,0.005338365001080092,1
1,0,1628179195,SELECT SUM(size) FROM nsdf.catalog,sum,6.293491742995684,1
2,0,1628179195,"SELECT catalog, COUNT(*), SUM(size) FROM nsdf.catalog GROUP BY catalog",group_by_catalog,17.546118639998895,50
3,0,1628179195,"SELECT bucket, any(catalog), COUNT(*), SUM(size) FROM nsdf.catalog GROUP BY bucket",group_by_bucket,26.38636107899947,1143632
4,0,1628179195,SELECT * FROM nsdf.catalog LIMIT 10,search_first_page,0.2456020149984397,10
5,0,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%abc%' LIMIT 10,search_first_page_specific_10,1.1382474650017684,10
6,0,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%bcd%' LIMIT 100,search_first_page_specific_100,1.0456839329999639,100
7,0,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%cde%' LIMIT 1000,search_first_page_specific_1000,1.1152281689937809,1000
8,0,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%def%' LIMIT 10000,search_first_page_specific_10000,1.074624107001,10000
9,1,1628179195,SELECT COUNT(*) FROM nsdf.catalog,count,0.008412682000198402,1
10,1,1628179195,SELECT SUM(size) FROM nsdf.catalog,sum,6.323640725000587,1
11,1,1628179195,"SELECT catalog, COUNT(*), SUM(size) FROM nsdf.catalog GROUP BY catalog",group_by_catalog,17.41120284900535,50
12,1,1628179195,"SELECT bucket, any(catalog), COUNT(*), SUM(size) FROM nsdf.catalog GROUP BY bucket",group_by_bucket,26.48324755700014,1143632
13,1,1628179195,SELECT * FROM nsdf.catalog LIMIT 10,search_first_page,0.24452351799845928,10
14,1,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%abc%' LIMIT 10,search_first_page_specific_10,1.1360483820026275,10
15,1,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%bcd%' LIMIT 100,search_first_page_specific_100,1.0874984549955116,100
16,1,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%cde%' LIMIT 1000,search_first_page_specific_1000,1.1330100210034288,1000
17,1,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%def%' LIMIT 10000,search_first_page_specific_10000,1.09288671399554,10000
18,2,1628179195,SELECT COUNT(*) FROM nsdf.catalog,count,0.005928003003646154,1
19,2,1628179195,SELECT SUM(size) FROM nsdf.catalog,sum,6.226172598995618,1
20,2,1628179195,"SELECT catalog, COUNT(*), SUM(size) FROM nsdf.catalog GROUP BY catalog",group_by_catalog,17.353183571001864,50
21,2,1628179195,"SELECT bucket, any(catalog), COUNT(*), SUM(size) FROM nsdf.catalog GROUP BY bucket",group_by_bucket,26.367216777995054,1143632
22,2,1628179195,SELECT * FROM nsdf.catalog LIMIT 10,search_first_page,0.25113296000199625,10
23,2,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%abc%' LIMIT 10,search_first_page_specific_10,1.180297671999142,10
24,2,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%bcd%' LIMIT 100,search_first_page_specific_100,1.0218911999982083,100
25,2,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%cde%' LIMIT 1000,search_first_page_specific_1000,1.1157664580023265,1000
26,2,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%def%' LIMIT 10000,search_first_page_specific_10000,1.091251559999364,10000
27,3,1628179195,SELECT COUNT(*) FROM nsdf.catalog,count,0.006060350002371706,1
28,3,1628179195,SELECT SUM(size) FROM nsdf.catalog,sum,6.208709963000729,1
29,3,1628179195,"SELECT catalog, COUNT(*), SUM(size) FROM nsdf.catalog GROUP BY catalog",group_by_catalog,17.366352693999943,50
30,3,1628179195,"SELECT bucket, any(catalog), COUNT(*), SUM(size) FROM nsdf.catalog GROUP BY bucket",group_by_bucket,26.301249140997243,1143632
31,3,1628179195,SELECT * FROM nsdf.catalog LIMIT 10,search_first_page,0.240691381994111,10
32,3,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%abc%' LIMIT 10,search_first_page_specific_10,1.109200498998689,10
33,3,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%bcd%' LIMIT 100,search_first_page_specific_100,1.0320247459967504,100
34,3,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%cde%' LIMIT 1000,search_first_page_specific_1000,1.109878702001879,1000
35,3,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%def%' LIMIT 10000,search_first_page_specific_10000,1.0612886709932354,10000
36,4,1628179195,SELECT COUNT(*) FROM nsdf.catalog,count,0.006161643999803346,1
37,4,1628179195,SELECT SUM(size) FROM nsdf.catalog,sum,6.09157755200431,1
38,4,1628179195,"SELECT catalog, COUNT(*), SUM(size) FROM nsdf.catalog GROUP BY catalog",group_by_catalog,17.347371980999014,50
39,4,1628179195,"SELECT bucket, any(catalog), COUNT(*), SUM(size) FROM nsdf.catalog GROUP BY bucket",group_by_bucket,26.28953826700308,1143632
40,4,1628179195,SELECT * FROM nsdf.catalog LIMIT 10,search_first_page,0.2420895510003902,10
41,4,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%abc%' LIMIT 10,search_first_page_specific_10,1.1290583590016467,10
42,4,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%bcd%' LIMIT 100,search_first_page_specific_100,1.0135198040006799,100
43,4,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%cde%' LIMIT 1000,search_first_page_specific_1000,1.1231869390030624,1000
44,4,1628179195,SELECT * FROM nsdf.catalog WHERE name LIKE '%def%' LIMIT 10000,search_first_page_specific_10000,1.0743019650035421,10000
